Name,unpol.EIC.empty10x100_cut
Comment,Bins for EIC set
Reference,AV
Process type,SIDIS
Number of points,6889
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
1600,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.75,0.7,0.8,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1610,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.85,0.8,0.9,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1611,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.85,0.8,0.9,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1612,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.85,0.8,0.9,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1613,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.85,0.8,0.9,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1614,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.85,0.8,0.9,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1624,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.95,0.9,1.0,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1625,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.95,0.9,1.0,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1626,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.95,0.9,1.0,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1627,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.95,0.9,1.0,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1628,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.95,0.9,1.0,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1629,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.95,0.9,1.0,0.45,0.4,0.5,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2016,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.075,0.05,0.1,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2030,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.125,0.1,0.15,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2044,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.175,0.15,0.2,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2045,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.175,0.15,0.2,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2058,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.225,0.2,0.25,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2059,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.225,0.2,0.25,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2072,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.275,0.25,0.3,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2073,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.275,0.25,0.3,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2086,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.35,0.3,0.4,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2087,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.35,0.3,0.4,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2088,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.35,0.3,0.4,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2100,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.45,0.4,0.5,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2101,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.45,0.4,0.5,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2102,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.45,0.4,0.5,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2114,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00324648,0.00251189,0.00398107,0.55,0.5,0.6,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
